state,city,site,site_name,params,params_query,params_ids,data_availability
Haryana,Ambala,site_5052,"Patti Mehar, Ambala - HSPCB",,,,
Haryana,Bahadurgarh,site_5045,"Arya Nagar, Bahadurgarh - HSPCB",,,,
Haryana,Ballabgarh,site_5060,"Nathu Colony, Ballabgarh - HSPCB",,,,
Haryana,Bhiwani,site_5047,"H.B. Colony, Bhiwani - HSPCB",,,,
Haryana,Charkhi Dadri,site_5339,"Mini Secretariat, Charkhi Dadri - HSPCB",,,,
Haryana,Dharuhera,site_5044,"Municipal Corporation Office, Dharuhera -  HSPCB",,,,
Haryana,Faridabad,site_263,"Sector- 16A, Faridabad - HSPCB",,,,
Haryana,Faridabad,site_5340,"New Industrial Town, Faridabad - HSPCB",,,,
Haryana,Faridabad,site_5342,"Sector 11, Faridabad - HSPCB",,,,
Haryana,Faridabad,site_5341,"Sector 30, Faridabad - HSPCB",,,,
Haryana,Fatehabad,site_5054,"Huda Sector, Fatehabad - HSPCB",,,,
Haryana,Gurgaon,site_146,"Vikas Sadan, Gurugram - HSPCB",,,,
Haryana,Gurgaon,site_5025,"NISE Gwal Pahari, Gurugram - IMD",,,,
Haryana,Gurgaon,site_5345,"Sector-51, Gurugram - HSPCB",,,,
Haryana,Gurgaon,site_5344,"Teri Gram, Gurugram - HSPCB",,,,
Haryana,Hisar,site_5057,"Urban Estate-II, Hisar - HSPCB",,,,
Haryana,Jind,site_5056,"Police Lines, Jind - HSPCB",,,,
Haryana,Kaithal,site_5072,"Rishi Nagar, Kaithal - HSPCB",,,,
Haryana,Karnal,site_5049,"Sector-12, Karnal - HSPCB",,,,
Haryana,Kurukshetra,site_5043,"Sector-7, Kurukshetra - HSPCB",,,,
Haryana,Mandikhera,site_5055,"General Hospital, Mandikhera - HSPCB",,,,
Haryana,Manesar,site_5039,"Sector-2 IMT, Manesar - HSPCB",,,,
Haryana,Narnaul,site_5053,"Shastri Nagar, Narnaul - HSPCB",,,,
Haryana,Palwal,site_5050,"Shyam Nagar, Palwal - HSPCB",,,,
Haryana,Panchkula,site_161,"Sector-6, Panchkula - HSPCB ",,,,
Haryana,Panipat,site_5048,"Sector-18, Panipat - HSPCB",,,,
Haryana,Rohtak,site_147,"MD University, Rohtak - HSPCB",,,,
Haryana,Sirsa,site_5051,"F-Block, Sirsa - HSPCB",,,,
Haryana,Sonipat,site_5041,"Murthal, Sonipat - HSPCB",,,,
Haryana,Yamunanagar,site_5046,"Gobind Pura, Yamuna Nagar - HSPCB",,,,
Delhi,Delhi,site_116,"East Arjun Nagar, Delhi - CPCB",,,,
