state,city,site,site_name,params,params_query,params_ids,data_availability
Rajasthan,Ajmer,site_1392,"Civil Lines,  Ajmer - RSPCB",,,,
Rajasthan,Alwar,site_1390,"Moti Doongri, Alwar - RSPCB",,,,
Rajasthan,Banswara,site_5711,"Rati Talai, Banswara - RSPCB",,,,
Rajasthan,Baran,site_5775,"Bamboliya, Baran - RSPCB",,,,
Rajasthan,Barmer,site_5714,"Railway Colony, Barmer - RSPCB",,,,
Rajasthan,Bharatpur,site_5695,"Krishna Nagar, Bharatpur - RSPCB",,,,
Rajasthan,Bhilwara,site_5770,"Pratap Nagar, Bhilwara - RSPCB",,,,
Rajasthan,Bhiwadi,site_1391,"RIICO Ind. Area III, Bhiwadi - RSPCB",,,,
Rajasthan,Bikaner,site_5696,"MM Ground, Bikaner - RSPCB",,,,
Rajasthan,Bundi,site_5771,"New Colony, Bundi - RSPCB",,,,
Rajasthan,Chittorgarh,site_5712,"Shastri Nagar, Chittorgarh - RSPCB",,,,
Rajasthan,Churu,site_5699,"Subash Chowk, Churu - RSPCB",,,,
Rajasthan,Dausa,site_5713,"Khatikan Mohalla, Dausa - RSPCB",,,,
Rajasthan,Dholpur,site_5700,"Raja Ganj, Dholpur - RSPCB",,,,
Rajasthan,Hanumangarh,site_5715,"Housing Board, Hanumangarh - RSPCB",,,,
Rajasthan,Jaipur,site_1393,"Adarsh Nagar, Jaipur - RSPCB",,,,
Rajasthan,Jaipur,site_5725,"Mansarovar Sector-12, Jaipur - RSPCB",,,,
Rajasthan,Jaipur,site_134,"Police Commissionerate, Jaipur - RSPCB",,,,
Rajasthan,Jaipur,site_5728,"RIICO Sitapura, Jaipur - RSPCB",,,,
Rajasthan,Jaipur,site_5727,"Sector-2 Murlipura, Jaipur - RSPCB",,,,
Rajasthan,Jaipur,site_1396,"Shastri Nagar, Jaipur - RSPCB",,,,
Rajasthan,Jaisalmer,site_5772,"Sadar Bazar, Jaisalmer - RSPCB",,,,
Rajasthan,Jhalawar,site_5724,"Rajlaxmi Nagar, Jhalawar - RSPCB",,,,
Rajasthan,Jhunjhunu,site_5717,"Indra Nagar, Jhunjhunu - RSPCB",,,,
Rajasthan,Jodhpur,site_136,"Collectorate, Jodhpur - RSPCB",,,,
Rajasthan,Jodhpur,site_5726,"Digari Kalan, Jodhpur - RSPCB",,,,
Rajasthan,Jodhpur,site_5720,"Jhalamand, Jodhpur - RSPCB",,,,
Rajasthan,Jodhpur,site_5773,"Mandor, Jodhpur - RSPCB",,,,
Rajasthan,Jodhpur,site_5694,"Samrat Ashok Udhyan, Jodhpur - RSPCB",,,,
Rajasthan,Karauli,site_5723,"Satyawati Vihar, Karauli - RSPCB",,,,
Rajasthan,Kota,site_5707,"Dhanmandi, Kota - RSPCB",,,,
Rajasthan,Kota,site_5701,"Nayapura, Kota - RSPCB",,,,
Rajasthan,Kota,site_1394,"Shrinath Puram, Kota - RSPCB",,,,
Rajasthan,Nagaur,site_5778,"Karni Colony, Nagaur - RSPCB",,,,
Rajasthan,Pali,site_1395,"Indira Colony Vistar, Pali - RSPCB",,,,
Rajasthan,Pratapgarh,site_5721,"Pragati Nagar, Pratapgarh - RSPCB",,,,
Rajasthan,Rajsamand,site_5718,"Dhoinda, Rajsamand - RSPCB",,,,
Rajasthan,Sawai Madhopur,site_5716,"Sahu Nagar, Sawai Madhopur - RSPCB",,,,
Rajasthan,Sikar,site_5722,"Radhakishan Pura, Sikar - RSPCB",,,,
Rajasthan,Sirohi,site_5705,"Vedhaynath Colony, Sirohi - RSPCB",,,,
Rajasthan,Sri Ganganagar,site_5719,"Old City, Sri Ganganagar - RSPCB",,,,
Rajasthan,Tonk,site_5702,"Shastri Nagar, Tonk - RSPCB",,,,
Rajasthan,Udaipur,site_1397,"Ashok Nagar, Udaipur - RSPCB",,,,
