state,city,site,site_name,params,params_query,params_ids,data_availability
Uttar_Pradesh,Agra,site_5464,"Manoharpur, Agra - UPPCB",,,,
Uttar_Pradesh,Agra,site_5482,"Rohta, Agra - UPPCB",,,,
Uttar_Pradesh,Agra,site_307,"Sanjay Palace, Agra - UPPCB",,,,
Uttar_Pradesh,Agra,site_5465,"Sector-3B Avas Vikas Colony, Agra - UPPCB",,,,
Uttar_Pradesh,Agra,site_5501,"Shahjahan Garden, Agra - UPPCB",,,,
Uttar_Pradesh,Agra,site_5463,"Shastripuram, Agra - UPPCB",,,,
Uttar_Pradesh,Baghpat,site_1569,"New Collectorate, Baghpat - UPPCB",,,,
Uttar_Pradesh,Baghpat,site_5585,"Sardar Patel Inter College, Baghpat - UPPCB",,,,
Uttar_Pradesh,Bareilly,site_5628,"Civil Lines, Bareilly - UPPCB",,,,
Uttar_Pradesh,Bareilly,site_5601,"Rajendra Nagar, Bareilly - UPPCB",,,,
Uttar_Pradesh,Bulandshahr,site_1542,"Yamunapuram, Bulandshahr - UPPCB",,,,
Uttar_Pradesh,Firozabad,site_5480,"Nagla Bhau, Firozabad - UPPCB",,,,
Uttar_Pradesh,Firozabad,site_5584,"Vibhab Nagar, Firozabad - UPPCB",,,,
Uttar_Pradesh,Ghaziabad,site_5082,"Indirapuram, Ghaziabad - UPPCB",,,,
Uttar_Pradesh,Ghaziabad,site_5081,"Sanjay Nagar, Ghaziabad - UPPCB",,,,
Uttar_Pradesh,Ghaziabad,site_144,"Vasundhara, Ghaziabad - UPPCB",,,,
Uttar_Pradesh,Gorakhpur,site_5472,"Madan Mohan Malaviya University of Technology, Gorakhpur - UPPCB",,,,
Uttar_Pradesh,Greater_Noida,site_1541,"Knowledge Park - III, Greater Noida - UPPCB",,,,
Uttar_Pradesh,Greater_Noida,site_5121,"Knowledge Park - V, Greater Noida - UPPCB",,,,
Uttar_Pradesh,Hapur,site_5023,"Anand Vihar, Hapur - UPPCB",,,,
Uttar_Pradesh,Jhansi,site_5583,"Shivaji Nagar, Jhansi - UPPCB",,,,
Uttar_Pradesh,Kanpur,site_5500,"FTI Kidwai Nagar, Kanpur - UPPCB",,,,
Uttar_Pradesh,Kanpur,site_5416,"IITK, Kanpur - IITK",,,,
Uttar_Pradesh,Kanpur,site_276,"Nehru Nagar, Kanpur - UPPCB",,,,
Uttar_Pradesh,Kanpur,site_5474,"NSI Kalyanpur, Kanpur - UPPCB",,,,
Uttar_Pradesh,Khurja,site_5603,"Kalindi Kunj, Khurja - UPPCB",,,,
Uttar_Pradesh,Ghaziabad,site_5083,"Loni, Ghaziabad - UPPCB",,,,
Uttar_Pradesh,Lucknow,site_5460,"B R Ambedkar University, Lucknow - UPPCB",,,,
Uttar_Pradesh,Lucknow,site_5128,"Gomti Nagar, Lucknow - UPPCB",,,,
Uttar_Pradesh,Lucknow,site_272,"Kendriya Vidyalaya, Lucknow - CPCB",,,,
Uttar_Pradesh,Lucknow,site_5462,"Kukrail Picnic Spot-1, Lucknow - UPPCB",,,,
Uttar_Pradesh,Lucknow,site_277,"Lalbagh, Lucknow - CPCB",,,,
Uttar_Pradesh,Lucknow,site_,"Nishant Ganj, Lucknow - UPPCB",,,,
Uttar_Pradesh,Lucknow,site_297,"Talkatora District Industries Center, Lucknow - CPCB",,,,
Uttar_Pradesh,Meerut,site_5258,"Ganga Nagar, Meerut - UPPCB",,,,
Uttar_Pradesh,Meerut,site_5109,"Jai Bhim Nagar, Meerut - UPPCB",,,,
Uttar_Pradesh,Meerut,site_5257,"Pallavpuram Phase 2, Meerut - UPPCB",,,,
Uttar_Pradesh,Moradabad,site_5554,"Buddhi Vihar, Moradabad - UPPCB",,,,
Uttar_Pradesh,Moradabad,site_5556,"Eco Herbal Park, Moradabad - UPPCB",,,,
Uttar_Pradesh,Moradabad,site_5537,"Employment Office, Moradabad - UPPCB",,,,
Uttar_Pradesh,Moradabad,site_5555,"Jigar Colony, Moradabad - UPPCB",,,,
Uttar_Pradesh,Moradabad,site_5620,"Kashiram Nagar, Moradabad - UPPCB",,,,
Uttar_Pradesh,Moradabad,site_1398,"Lajpat Nagar, Moradabad - UPPCB",,,,
Uttar_Pradesh,Moradabad,site_5613,"Transport Nagar, Moradabad - UPPCB",,,,
Uttar_Pradesh,Muzaffarnagar,site_1550,"New Mandi, Muzaffarnagar - UPPCB",,,,
Uttar_Pradesh,Noida,site_153,"Sector - 125, Noida - UPPCB",,,,
Uttar_Pradesh,Noida,site_111,"Sector - 62, Noida - IMD",,,,
Uttar_Pradesh,Noida,site_5123,"Sector-1, Noida - UPPCB",,,,
Uttar_Pradesh,Noida,site_5122,"Sector-116, Noida - UPPCB",,,,
Uttar_Pradesh,Prayagraj,site_5461,"Jhunsi, Prayagraj - UPPCB",,,,
Uttar_Pradesh,Prayagraj,site_5459,"Motilal Nehru NIT, Prayagraj - UPPCB",,,,
Uttar_Pradesh,Prayagraj,site_5484,"Nagar Nigam, Prayagraj - UPPCB",,,,
Uttar_Pradesh,Varanasi,site_273,"Ardhali Bazar, Varanasi - UPPCB",,,,
Uttar_Pradesh,Varanasi,site_5469,"Bhelupur, Varanasi - UPPCB",,,,
Uttar_Pradesh,Varanasi,site_5468,"IESD Banaras Hindu University, Varanasi - UPPCB",,,,
Uttar_Pradesh,Varanasi,site_5475,"Maldahiya, Varanasi - UPPCB",,,,
Uttar_Pradesh,Vrindavan,site_5483,"Omex Eternity, Vrindavan - UPPCB",,,,
